timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692211902374,143,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/28,143,0,0
1692211902514,154,PUT specific Activity,200,OK,Stress test 1-1,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/13,154,0,0
1692211902514,157,GET specific Activity,200,OK,Stress test 1-3,text,true,,352,219,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/3,157,0,0
1692211902517,159,POST Activity,200,OK,Stress test 1-2,text,true,,331,294,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,159,0,0
1692211902668,137,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/13,137,0,0
1692211902671,134,POST Activity,200,OK,Stress test 1-3,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,134,0,0
1692211902676,131,PUT specific Activity,200,OK,Stress test 1-2,text,true,,331,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/28,131,0,0
1692211902806,145,GET specific Activity,200,OK,Stress test 1-1,text,true,,350,219,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/8,145,0,0
1692211902807,146,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/28,146,0,0
1692211902805,163,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/3,163,0,0
1692211902953,162,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/22,162,0,0
1692211902951,164,POST Activity,200,OK,Stress test 1-1,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,164,0,0
1692211902968,178,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/3,178,0,0
1692211903115,152,POST Activity,200,OK,Stress test 1-2,text,true,,336,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,152,0,0
1692211903146,123,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/14,123,0,0
1692211903115,158,PUT specific Activity,200,OK,Stress test 1-1,text,true,,332,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/8,158,0,0
1692211903273,158,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/8,158,0,0
1692211903432,131,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/23,131,0,0
1692211903267,299,PUT specific Activity,200,OK,Stress test 1-2,text,true,,336,301,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/22,299,0,0
1692211903269,386,POST Activity,200,OK,Stress test 1-3,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,386,0,0
1692211903563,343,POST Activity,200,OK,Stress test 1-1,text,true,,331,294,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,343,0,0
1692211903567,339,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/22,339,0,0
1692211903655,251,PUT specific Activity,200,OK,Stress test 1-3,text,true,,332,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/14,251,0,0
1692211903907,133,GET specific Activity,200,OK,Stress test 1-2,text,true,,352,219,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/5,133,0,0
1692211903906,197,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/14,197,0,0
1692211903906,226,PUT specific Activity,200,OK,Stress test 1-1,text,true,,331,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/23,226,0,0
1692211904103,121,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/15,120,0,0
1692211904041,183,POST Activity,200,OK,Stress test 1-2,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,183,0,0
1692211904132,142,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/23,142,0,0
1692211904224,174,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/5,174,0,0
1692211904224,177,POST Activity,200,OK,Stress test 1-3,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,177,0,0
1692211904275,132,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,132,0,0
1692211904398,201,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/5,201,0,0
1692211904407,222,POST Activity,200,OK,Stress test 1-1,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,222,0,0
1692211904401,232,PUT specific Activity,200,OK,Stress test 1-3,text,true,,332,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/15,232,0,0
1692211904599,122,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/11,122,0,0
